ID,CAMPAIGN_NAME,DATE,SPEND,IMPRESSIONS,CLICKS
997563664,ad_network_2_iOS_US_All_C_Exact_CPT,2023-03-15,21.80,60,50
1003503722,ad_network_2_iOS_CA_All_Match,2023-01-19,255.72,8995,266
1003428949,ad_network_2_iOS_UK_All_Match,2022-10-23,4.37,605,20
1003504069,ad_network_2_iOS_NZ_All_B_Exact_CPT,2022-06-03,0.00,3,0
1003288334,ad_network_2_iOS_CA_All_B_Exact_CPT,2022-09-30,19.32,4,12
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-04-28,0.00,40,0
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-05-22,49.14,520,25
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-09-28,148.31,384,77
1003290939,ad_network_2_iOS_IE_All_C_Exact_CPT,2022-01-27,0.00,4,0
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-07-01,0.00,20,0
1003288334,ad_network_2_iOS_CA_All_B_Exact_CPT,2022-05-24,0.00,3,0
1003503147,ad_network_2_iOS_AU_All_B_Exact_CPT,2022-08-27,37.22,18,6
1003504069,ad_network_2_iOS_NZ_All_B_Exact_CPT,2022-11-05,0.00,7,0
1003428949,ad_network_2_iOS_UK_All_Match,2022-12-31,169.39,2225,30
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-11-11,7.13,36,10
1015196756,ad_network_2_iOS_BE_All_Exact_CPT,2022-05-29,6.06,36,32
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2023-02-14,0.00,20,0
1015196756,ad_network_2_iOS_BE_All_Exact_CPT,2022-06-24,107.97,120,28
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-09-27,222.03,200,55
1003504069,ad_network_2_iOS_NZ_All_B_Exact_CPT,2022-05-17,9.66,6,3
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2023-02-02,0.00,4,0
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2022-06-20,0.00,112,0
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-02-07,0.00,28,0
1003503147,ad_network_2_iOS_AU_All_B_Exact_CPT,2022-09-05,2.56,7,8
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-09-11,3.05,120,20
1015237368,ad_network_2_iOS_BE_All_Shared_B_Exact_CPT,2022-10-19,0.00,3,0
1003505442,ad_network_2_iOS_IE_All_B_Exact_CPT,2022-10-19,2.91,9,2
1024322563,ad_network_2_iOS_DE_All_Match,2023-01-19,182.47,3952,50
1003428949,ad_network_2_iOS_UK_All_Match,2022-01-29,95.40,5290,136
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-12-29,85.82,136,18
1003503725,ad_network_2_iOS_AU_All_Exact_CPT,2022-11-11,5.74,46,30
1003487744,ad_network_2_iOS_CA_All_Shared_B_Exact_CPT,2023-01-08,0.00,10,0
1024322563,ad_network_2_iOS_DE_All_Match,2023-02-22,11.18,624,9
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-12-28,798.10,1184,208
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2023-03-31,220.78,558,117
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-04-04,48.80,104,16
1003503725,ad_network_2_iOS_AU_All_Exact_CPT,2022-09-29,160.80,324,36
1015514764,ad_network_2_iOS_BE_All_B_Exact_CPT,2022-08-08,9.44,6,9
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2022-02-18,49.01,320,4
1009146846,ad_network_2_iOS_DE_All_C_Exact_CPT,2022-10-16,0.00,7,0
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-02-18,11.93,7,4
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-10-12,202.76,192,11
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-11-12,6.89,560,72
1009067728,ad_network_2_iOS_DE_All_B_Exact_CPT,2022-09-04,5.70,6,2
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-03-07,9.70,1,8
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-09-29,16.53,164,36
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-03-13,11.33,175,12
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2023-01-08,37.46,26,4
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-11-28,0.00,10,0
1003503722,ad_network_2_iOS_CA_All_Match,2022-05-05,23.88,208,8
1003503725,ad_network_2_iOS_AU_All_Exact_CPT,2022-02-27,325.38,306,160
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-08-27,8.10,24,14
1003428951,ad_network_2_iOS_NZ_All_Match,2022-11-24,21.05,696,28
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-07-05,28.81,24,12
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2022-04-07,0.00,18,0
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-09-23,11.54,776,162
1003505482,ad_network_2_iOS_AU_All_Match,2022-09-25,140.87,1180,11
1003503564,ad_network_2_iOS_NZ_All_Shared_B_Exact_CPT,2022-04-17,0.00,63,0
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2023-01-22,0.00,2,0
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-03-07,33.31,336,15
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-10-12,18.79,5,1
1003487744,ad_network_2_iOS_CA_All_Shared_B_Exact_CPT,2022-10-05,0.00,18,0
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-06-14,281.71,213,54
1003428951,ad_network_2_iOS_NZ_All_Match,2022-08-22,0.83,78,27
1003503725,ad_network_2_iOS_AU_All_Exact_CPT,2023-03-18,21.56,161,3
1003428951,ad_network_2_iOS_NZ_All_Match,2022-06-24,23.74,1656,32
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-01-23,10.18,120,32
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2023-01-04,2.97,70,2
1009146846,ad_network_2_iOS_DE_All_C_Exact_CPT,2022-07-03,0.00,2,0
997546097,ad_network_2_iOS_US_All_Exact_CPT,2022-07-06,3538.08,5076,945
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2023-01-01,4.78,20,8
1003290939,ad_network_2_iOS_IE_All_C_Exact_CPT,2022-09-11,0.88,20,3
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-07-20,0.00,20,0
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-07-22,285.03,324,200
1003428951,ad_network_2_iOS_NZ_All_Match,2023-01-14,40.66,380,60
1003505742,ad_network_2_iOS_IE_New_Match,2022-06-02,0.00,9,0
997563664,ad_network_2_iOS_US_All_C_Exact_CPT,2022-03-30,193.95,616,92
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2022-03-13,40.43,180,20
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-06-02,0.00,32,0
1003428951,ad_network_2_iOS_NZ_All_Match,2022-07-27,33.86,324,70
